,0
310,133258.95
311,141107.25
312,141430.08
313,141708.62
314,136577.67
315,135019.72
316,110708.516
317,141771.28
318,120381.805
319,177068.27
320,132292.6
321,104680.26
322,144384.62
323,106894.266
324,126342.15
325,174013.31
326,176666.83
327,74959.47
328,92631.86
329,109211.79
330,178369.5
331,147646.28
332,131154.62
333,143648.39
334,140187.95
335,125844.67
336,108774.17
337,123982.73
338,120856.51
339,145107.34
340,126814.56
341,130010.41
342,159588.52
343,152195.62
344,131310.03
345,116912.016
346,124978.8
347,121446.22
348,118741.2
349,151742.19
350,129429.74
351,112323.36
352,133681.56
353,88756.75
354,47794.305
355,98541.89
356,141388.83
357,130845.805
358,117511.83
359,74457.85
360,127507.375
361,163101.83
362,34780.555
363,131707.14
364,141094.7
365,108280.4
366,99853.164
367,143160.95
368,118157.195
369,141362.69
370,140741.84
371,115312.516
372,137960.78
373,125464.9
374,125771.375
375,123380.945
376,99890.03
377,131074.86
378,101927.375
379,177381.83
380,154501.73
381,82238.805
382,140490.12
383,140973.4
384,148598.4
385,161842.45
386,158767.55
387,59342.863
388,107388.805
389,125107.195
390,154128.38
391,121006.09
392,123023.57
393,161515.81
394,146281.95
395,221063.23
396,179435.89
397,142355.44
398,118260.1
399,168512.4
400,118225.086
401,278770.38
402,277841.1
403,277841.1
404,365742.47
405,326550.78
406,231282.45
407,281502.06
408,203951.55
409,240054.27
410,257233.86
411,175592.23
412,228470.3
413,136070.2
414,199493.95
415,192516.6
416,223823.64
417,214408.11
418,138874.88
419,133648.17
420,240450.36
421,257072.05
422,191553.16
423,213177.7
424,251987.16
425,285151.8
426,208610.11
427,260519.22
428,155490.11
429,127336.734
430,139455.5
431,106522.9
432,125494.21
433,130381.82
434,142986.92
435,122918.81
436,116504.375
437,108169.99
438,146688.89
439,128768.94
440,196248.72
441,145538.34
442,206493.36
443,152613.5
444,185330.03
445,173157.61
446,205820.19
447,114854.086
448,130912.88
449,127615.59
450,212586.2
451,262966.94
452,152649.22
453,55533.844
454,328466.34
455,64990.93
456,245145.84
457,137578.86
458,166635.4
459,160626.38
460,438493.1
461,344016.53
462,210512.81
463,217037.0
464,229316.94
465,400684.53
466,138932.66
467,140619.5
468,130388.82
469,117668.58
470,141969.22
471,139037.14
472,193239.78
473,176951.92
474,172075.42
475,193114.8
476,182573.69
477,186506.14
478,257188.83
479,181604.02
480,185330.77
481,192017.55
482,193506.72
483,356586.75
484,393045.8
485,171677.56
486,310856.66
487,184908.48
488,267650.78
489,185457.77
490,280449.66
491,226762.16
492,180980.14
493,184075.22
494,140195.6
495,355991.97
496,149574.22
497,297546.66
498,133438.03
499,120523.3
500,128503.445
501,93112.64
502,107067.664
503,117472.86
504,146463.28
505,124436.63
506,304623.3
507,484569.84
508,418353.88
509,475624.8
510,428023.9
511,372112.1
512,257366.61
513,340688.5
514,457307.78
515,266102.66
516,349143.6
517,420335.12
518,305324.5
519,193059.75
520,356532.75
521,236897.9
522,209719.3
523,157231.22
524,240433.95
525,233560.9
526,176334.5
527,180404.38
528,190058.27
529,228085.03
530,262450.84
531,215983.56
532,164032.7
533,217568.17
534,177880.27
535,251547.5
536,303440.2
537,351660.53
538,273272.75
539,309229.3
540,245741.66
541,270718.94
542,248926.56
543,253520.0
544,213538.4
545,228862.9
546,250154.92
547,217840.3
548,196498.75
549,182381.89
550,156171.22
551,173792.0
552,186783.28
553,188105.72
554,197573.95
555,205675.17
556,190948.77
557,118843.88
558,131982.92
559,109725.15
560,105198.086
561,181991.75
562,154088.61
563,267118.9
564,319533.53
565,179511.62
566,157367.52
567,149973.62
568,171932.0
569,259003.73
570,226636.4
571,254502.44
572,250617.8
573,161226.36
574,216030.67
575,187333.28
576,197517.53
577,260996.52
578,226891.2
579,362549.47
580,285663.34
581,197647.67
582,168454.56
583,160698.06
584,206917.94
585,126758.94
586,156581.16
587,131574.84
588,127942.14
589,184384.06
590,102320.37
591,131941.44
592,141465.67
593,86206.42
594,183463.39
595,136565.56
596,126677.76
597,242954.64
598,138751.42
599,162127.03
600,175568.11
601,132927.84
602,121945.55
603,144705.67
604,107931.945
605,176215.98
606,117021.21
607,136695.8
608,83040.32
609,114168.0
610,99184.766
611,135511.33
612,143603.7
613,169865.64
614,142239.97
615,128947.234
616,155384.77
617,136267.08
618,124883.02
619,113612.47
620,119609.04
621,131141.9
622,147899.2
623,113238.84
624,124756.88
625,94629.34
626,126881.74
627,103105.34
628,77306.164
629,130099.34
630,124073.586
631,137183.48
632,147698.88
633,104381.35
634,139917.33
635,75750.484
636,107173.47
637,140380.47
638,55993.6
639,99218.914
640,121415.66
641,125814.84
642,110140.53
643,128512.51
644,131871.62
645,81030.03
646,195590.23
647,119630.12
648,108832.77
649,122788.78
650,132005.75
651,144259.28
652,121895.7
653,103763.266
654,153679.08
655,119733.086
656,144537.42
657,123820.96
658,103709.03
659,114991.07
660,81971.17
661,111584.516
662,80666.516
663,160395.94
664,137140.83
665,163824.3
666,143888.22
667,128829.75
668,95783.66
669,136730.08
670,138767.5
671,115012.74
672,115780.58
673,127227.64
674,105366.85
675,83547.12
676,106351.66
677,131258.33
678,158758.23
679,134458.53
680,144689.95
681,127816.336
682,141012.95
683,129266.72
684,137668.36
685,158794.53
686,156116.52
687,152989.33
688,186606.34
689,216407.48
690,102199.6
691,185741.5
692,173549.16
693,112015.34
694,122237.98
695,277471.78
696,232516.97
697,239640.86
698,224626.16
699,158750.2
700,233262.7
701,333702.72
702,343495.84
703,253096.28
704,185539.33
705,147180.31
706,211454.14
707,206731.08
708,196783.73
709,224809.12
710,147480.14
711,132294.5
712,161032.67
713,243376.61
714,287926.78
715,330053.72
716,254185.4
717,201090.45
718,145527.42
719,238023.9
720,190287.52
721,225081.94
722,185735.48
723,128669.445
724,127982.34
725,136676.8
726,147791.56
727,153889.64
728,250197.58
729,77791.69
730,81987.11
731,101411.67
732,95854.836
733,101382.16
734,117609.84
735,98736.9
736,109616.16
737,149329.31
738,154302.75
739,145270.14
740,146263.89
741,185774.23
742,168170.56
743,188700.75
744,128088.445
745,143696.66
746,198950.52
747,237085.25
748,210567.22
749,133169.53
750,104590.945
751,115554.625
752,107467.87
753,157905.66
754,102552.305
755,141073.61
756,93438.516
757,71678.055
758,63609.535
759,77980.234
760,330724.53
761,275159.4
762,325601.38
763,231015.52
764,127938.586
765,184775.52
766,219929.81
767,278008.38
768,228220.39
769,171078.98
770,207312.12
771,182693.66
772,181610.48
773,251633.12
774,273371.4
775,268503.16
776,373672.22
777,206040.39
778,116181.86
779,163627.44
780,166819.62
781,135425.39
782,123873.07
783,92384.17
784,97613.94
785,149768.03
786,98633.87
787,122695.01
788,127998.53
789,136069.56
790,121061.6
791,158606.05
792,153748.08
793,171779.48
794,190385.56
795,184822.44
796,192334.17
797,168747.81
798,172925.36
799,162293.66
800,179770.02
801,210753.22
802,348628.5
803,327974.25
804,188645.61
805,271283.5
806,333234.16
807,375878.25
808,156405.77
809,184571.23
810,236341.56
811,197892.42
812,167780.9
813,174605.5
814,155435.84
815,191088.0
816,177472.62
817,152609.39
818,139675.38
819,128201.26
820,180550.52
821,203983.77
822,98291.664
823,106644.76
824,135223.42
825,128779.78
826,357242.0
827,285021.3
828,372357.4
829,464107.94
830,331627.97
831,435544.53
832,499381.38
833,443296.2
834,448979.06
835,288571.4
836,339372.22
837,318599.03
838,414686.2
839,332202.03
840,314907.88
841,245707.03
842,236010.94
843,240166.6
844,199314.36
845,189770.22
846,191323.38
847,210344.33
848,274108.12
849,213262.66
850,195101.28
851,178290.58
852,177260.42
853,177064.05
854,179124.4
855,196796.25
856,187165.34
857,187307.55
858,179736.1
859,211014.22
860,253112.9
861,167374.17
862,172094.27
863,165413.06
864,203963.92
865,162761.12
866,220851.27
867,225651.88
868,182613.61
869,175658.6
870,369441.0
871,392643.6
872,335831.12
873,276962.1
874,268008.53
875,353895.47
876,196766.1
877,273040.62
878,218543.16
879,397639.25
880,211099.02
881,227155.02
882,219618.72
883,247078.67
884,236322.45
885,219470.94
886,204758.44
887,231262.1
888,201681.22
889,326234.03
890,256870.92
891,247453.19
892,300548.9
893,125898.516
894,132826.61
895,156999.3
896,194631.52
897,196894.27
898,125105.97
899,116672.6
900,138095.86
901,269432.78
902,149862.06
903,152874.8
904,215767.94
905,183522.92
906,221191.28
907,226491.69
908,218670.69
909,167818.89
910,175122.16
911,187720.7
912,287301.66
913,306822.2
914,254713.66
915,290566.2
916,332155.6
917,138301.27
918,213927.25
919,145073.75
920,175946.75
921,184627.42
922,193329.7
923,255893.95
924,157944.56
925,132084.28
926,135609.86
927,122418.96
928,132181.7
929,154351.86
930,143283.4
931,116027.66
932,162877.33
933,146049.58
934,185637.6
935,141374.64
936,221584.55
937,139003.89
938,66835.49
939,56548.473
940,117124.53
941,138160.28
942,128379.18
943,150270.36
944,164173.53
945,141589.16
946,137164.36
947,139282.88
948,137175.6
949,156836.6
950,119933.44
951,143655.23
952,138549.6
953,154310.72
954,129388.336
955,127594.875
956,127459.31
957,121481.76
958,139495.1
959,126516.67
960,153779.5
961,123440.66
962,134933.08
963,150463.77
964,302033.5
965,133926.38
966,152964.0
967,171671.36
968,123204.52
969,130167.02
970,109909.95
971,142368.02
972,151646.55
973,145504.92
974,147847.6
975,109625.95
976,116262.31
977,124315.44
978,110204.49
979,117732.36
980,93340.98
981,96464.375
982,124083.41
983,136583.02
984,88200.71
985,144258.53
986,162333.64
987,136694.08
988,106612.84
989,151027.58
990,140475.64
991,195282.0
992,90286.84
993,120431.97
994,106147.164
995,122111.91
996,127677.4
997,124113.08
998,106661.33
999,127875.8
1000,125352.81
1001,131404.28
1002,125961.21
1003,143816.89
1004,142335.08
1005,120925.92
1006,127663.16
1007,91847.914
1008,88759.95
1009,169045.17
1010,178739.36
1011,172898.33
1012,126218.48
1013,106605.336
1014,206462.16
1015,116438.33
1016,129563.805
1017,164179.52
1018,106970.484
1019,140694.4
1020,126493.01
1021,134434.2
1022,114353.305
1023,127722.26
1024,127782.516
1025,150338.02
1026,187462.73
1027,145820.78
1028,146903.17
1029,153916.3
1030,83535.96
1031,175938.56
1032,140985.6
1033,150395.5
1034,87425.3
1035,242026.48
1036,150818.64
1037,112589.875
1038,86639.39
1039,119348.08
1040,152214.19
1041,144490.14
1042,100648.9
1043,184125.94
1044,233609.95
1045,251549.14
1046,320733.16
1047,248621.77
1048,220985.77
1049,216780.9
1050,176392.1
1051,214801.73
1052,213042.34
1053,233750.95
1054,151234.39
1055,165869.47
1056,138854.02
1057,145151.77
1058,213131.4
1059,196979.06
1060,194758.58
1061,220694.84
1062,134655.9
1063,146026.58
1064,153096.73
1065,135892.31
1066,115020.984
1067,130366.67
1068,142638.58
1069,118440.28
1070,261297.61
1071,233763.23
1072,193328.97
1073,226846.47
1074,303353.97
1075,232885.5
1076,228181.27
1077,182151.56
1078,183984.12
1079,182652.92
1080,181497.55
1081,176565.42
1082,130630.664
1083,117677.1
1084,135675.39
1085,132673.27
1086,136333.23
1087,149991.61
1088,157706.83
1089,206784.73
1090,144462.44
1091,121706.484
1092,80057.91
1093,109172.62
1094,112511.76
1095,109398.89
1096,110197.22
1097,152270.31
1098,134647.2
1099,138836.55
1100,114587.61
1101,137605.11
1102,148874.52
1103,183134.06
1104,145652.08
1105,172146.94
1106,129368.414
1107,199654.47
1108,201842.61
1109,127531.48
1110,203009.64
1111,139280.88
1112,219771.06
1113,255852.39
1114,123154.75
1115,113578.04
1116,170297.1
1117,80649.375
1118,71749.96
1119,127571.37
1120,122348.59
1121,117475.85
1122,270607.47
1123,157884.23
1124,226313.31
1125,207618.75
1126,185928.78
1127,141912.34
1128,144117.28
1129,239946.98
1130,221563.67
1131,221554.38
1132,243621.28
1133,171320.88
1134,206482.94
1135,332022.25
1136,205288.78
1137,266342.9
1138,301705.75
1139,147873.97
1140,143216.47
1141,86377.164
1142,97579.85
1143,88791.2
1144,74429.586
1145,154619.98
1146,180502.83
1147,208754.19
1148,172277.22
1149,110810.61
1150,147504.89
1151,145137.64
1152,128967.91
1153,130168.37
1154,151776.02
1155,147557.3
1156,155409.8
1157,197938.52
1158,193018.45
1159,184475.1
1160,181585.69
1161,175283.58
1162,243224.36
1163,294618.75
1164,312406.28
1165,170882.38
1166,172099.73
1167,423561.22
1168,574221.6
1169,331953.8
1170,478919.8
1171,396175.72
1172,305615.34
1173,402981.06
1174,150828.36
1175,182598.95
1176,165424.19
1177,247807.66
1178,185439.3
1179,146063.42
1180,99943.44
1181,208096.16
1182,105067.266
1183,133842.8
1184,98848.16
1185,95238.53
1186,100319.64
1187,146826.83
1188,147246.17
1189,128842.055
1190,151146.39
1191,453158.56
1192,244954.62
1193,281940.62
1194,403354.84
1195,308371.84
1196,321037.38
1197,301895.16
1198,317634.28
1199,370308.84
1200,361059.4
1201,354923.3
1202,268012.03
1203,272413.72
1204,321650.66
1205,277313.12
1206,161975.73
1207,176975.53
1208,184770.62
1209,284066.28
1210,180175.84
1211,184288.11
1212,211973.56
1213,210987.73
1214,164644.11
1215,192952.16
1216,190191.17
1217,261587.14
1218,271829.6
1219,271562.28
1220,399509.5
1221,324530.72
1222,516083.34
1223,306909.5
1224,369483.84
1225,254592.55
1226,327709.8
1227,209611.02
1228,205352.61
1229,551906.75
1230,198848.03
1231,128123.96
1232,183791.17
1233,130861.19
1234,186470.52
1235,183185.08
1236,187325.97
1237,196099.6
1238,192483.22
1239,167715.53
1240,153517.12
1241,120797.38
1242,112617.24
1243,144002.03
1244,118969.05
1245,119111.34
1246,130792.55
1247,136744.84
1248,101641.125
1249,127584.1
1250,297719.66
1251,400649.2
1252,164542.28
1253,148425.0
1254,175891.0
1255,148679.23
1256,193563.39
1257,220853.08
1258,171401.89
1259,152804.17
1260,143631.28
1261,173266.95
1262,140429.53
1263,137594.9
1264,136474.33
1265,147110.7
1266,167857.9
1267,168509.95
1268,161000.25
1269,148225.34
1270,118172.39
1271,132862.73
1272,158158.72
1273,138424.34
1274,138299.83
1275,148575.27
1276,118644.16
1277,130684.92
1278,167072.3
1279,133700.11
1280,147571.06
1281,149168.56
1282,150391.16
1283,146552.36
1284,139966.2
1285,135981.11
1286,158948.47
1287,131474.7
1288,135435.75
1289,133276.31
1290,127960.99
1291,150026.45
1292,150792.56
1293,261370.5
1294,117789.445
1295,113565.62
1296,83082.67
1297,92148.62
1298,158157.06
1299,155361.34
1300,139330.88
1301,139108.05
1302,159376.83
1303,160644.78
1304,259749.77
1305,148835.52
1306,91999.25
1307,129741.46
1308,136852.92
1309,132738.88
1310,117632.586
1311,116519.766
1312,162602.25
1313,135993.66
1314,140434.6
1315,141761.42
1316,154300.89
1317,101953.69
1318,148671.78
1319,86584.56
1320,90353.99
1321,93383.41
1322,115795.72
1323,127926.11
1324,145813.2
1325,77501.7
1326,117792.34
1327,72590.98
1328,154744.78
1329,91581.19
1330,120718.37
1331,63284.438
1332,172326.14
1333,99807.91
1334,121884.92
1335,100088.48
1336,192772.73
1337,125659.86
1338,118557.19
1339,68403.31
1340,101110.81
1341,143575.88
1342,181324.03
1343,141230.64
1344,95478.78
1345,77864.58
1346,141554.39
1347,154370.66
1348,137375.08
1349,130491.99
1350,162300.84
1351,147699.98
1352,151281.75
1353,144035.44
1354,98342.76
1355,256005.23
1356,148711.4
1357,139354.47
1358,167473.64
1359,134355.38
1360,103680.516
1361,147911.62
1362,278428.9
1363,177523.28
1364,146323.75
1365,126437.54
1366,142150.77
1367,239218.64
1368,222558.48
1369,234203.95
1370,179479.23
1371,265776.06
1372,324975.4
1373,212191.19
1374,217988.83
1375,191306.23
1376,166201.83
1377,145350.45
1378,178834.42
1379,199846.34
1380,196823.78
1381,223150.5
1382,151361.97
1383,157886.55
1384,120540.82
1385,207566.58
1386,193667.0
1387,217485.73
1388,198917.16
1389,274958.03
1390,240895.08
1391,220635.61
1392,238188.28
1393,140129.95
1394,203483.72
1395,195668.84
1396,187904.1
1397,201882.38
1398,143880.27
1399,128665.445
1400,149080.34
1401,187543.94
1402,113301.89
1403,259343.1
1404,137583.22
1405,132391.33
1406,94549.65
1407,103319.39
1408,119997.26
1409,149792.47
1410,98252.61
1411,63476.09
1412,96010.95
1413,149143.3
1414,111436.29
1415,152861.92
1416,143847.0
1417,166469.78
1418,144326.98
1419,97489.15
1420,143588.62
1421,188123.5
1422,214841.08
1423,188598.12
1424,205199.73
1425,213389.02
1426,82629.43
1427,135751.47
1428,52673.676
1429,84676.26
1430,128295.98
1431,40809.523
1432,71067.73
1433,45955.35
1434,322858.56
1435,278854.78
1436,204962.58
1437,136251.77
1438,222492.31
1439,159792.19
1440,219414.86
1441,196774.42
1442,355901.03
1443,317615.25
1444,113175.21
1445,208192.2
1446,110429.36
1447,131124.62
1448,141026.97
1449,87315.73
1450,81363.4
1451,138831.75
1452,92271.93
1453,77744.33
1454,83734.555
1455,85160.414
1456,150360.45
1457,110689.32
1458,193056.95
